Entidad,Municipio,Subdelegacion,Clues,Tipo,Nombre,Nivel,Situacion,Latitud,Longitud,Tipo Vialidad,Vialidad,Numero,Tipo Asentamiento,Asentamiento,CP,Direccion Completa,Nombre Completo
Veracruz,Pueblo Viejo,Veracruz,VZIST000680,Consultorio de Atención Familiar,Cd. Cuauhtémoc,Primer Nivel,Subrogada,22.182,-97.8356,Calle,Amado Nervo Esquina Con 1922,S/N,Colonia,Ciudad Cuahutémoc,92030,"Calle Amado Nervo Esquina Con 1922 S/N, Colonia Ciudad Cuahutémoc, Pueblo Viejo, Veracruz, CP. 92030",CAF Cd. Cuauhtémoc
Veracruz,Poza Rica de Hidalgo,Veracruz,VZIST000226,Clinica Hospital,Poza Rica de Hidalgo,Segundo Nivel,Propia,20.5067,-97.4603,Calle,Gardenias Entre Flor de Liz Y Crisantemos,S/N,Colonia,Unidad Habitacional,93369,"Calle Gardenias Entre Flor de Liz Y Crisantemos S/N, Colonia Unidad Habitacional, Poza Rica de Hidalgo, Veracruz, CP. 93369",CH Poza Rica de Hidalgo
Veracruz,Pánuco,Veracruz,VZIST000651,Unidad de Medicina Familiar,Álamo,Primer Nivel,Propia,20.9124,-97.6794,Calle,Salvador Díaz Mirón,S/N,Colonia,Centro,92730,"Calle Salvador Díaz Mirón S/N, Colonia Centro, Pánuco, Veracruz, CP. 92730",UMF Álamo
Veracruz,Cazones de Herrera,Veracruz,VZIST000400,Consultorio de Atención Familiar,Cazones de Herrera,Primer Nivel,Subrogada,20.7064,-97.3099,Calle,Independencia,S/N,Colonia,Centro,92987,"Calle Independencia S/N, Colonia Centro, Cazones de Herrera, Veracruz, CP. 92987",CAF Cazones de Herrera
Veracruz,Coyutla,Veracruz,VZIST000453,Consultorio de Atención Familiar,Coyutla,Primer Nivel,Subrogada,20.2477,-97.6596,Calle,Morelos,S/N,Colonia,Centro,93140,"Calle Morelos S/N, Colonia Centro, Coyutla, Veracruz, CP. 93140",CAF Coyutla
Veracruz,Gutiérrez Zamora,Veracruz,VZIST000103,Unidad de Medicina Familiar,Gutiérrez Zamora,Primer Nivel,Propia,20.4524,-97.0866,Calle,Galeana,S/N,Colonia,Centro,93556,"Calle Galeana S/N, Colonia Centro, Gutiérrez Zamora, Veracruz, CP. 93556",UMF Gutiérrez Zamora
Veracruz,Huayacocotla,Veracruz,VZIST000115,Unidad de Medicina Familiar,Huayacocotla,Primer Nivel,Propia,20.5367,-98.4842,Calle,Pl de la Constitución 2,S/N,Colonia,Centro,92600,"Calle Pl de la Constitución 2 S/N, Colonia Centro, Huayacocotla, Veracruz, CP. 92600",UMF Huayacocotla
Veracruz,Ixhuatlán de Madero,Veracruz,VZIST000535,Consultorio de Atención Familiar,Ixhuatlán de Madero,Primer Nivel,Subrogada,20.6886,-98.0123,Calle,Benito Juarez,S/N,Colonia,Centro,92680,"Calle Benito Juarez S/N, Colonia Centro, Ixhuatlán de Madero, Veracruz, CP. 92680",CAF Ixhuatlán de Madero
Veracruz,Papantla,Veracruz,VZIST000190,Unidad de Medicina Familiar,Papantla,Primer Nivel,Propia,20.4578,-97.3308,Calle,Sombrerete,S/N,Colonia,Unidad Y Trabajo,93400,"Calle Sombrerete S/N, Colonia Unidad Y Trabajo, Papantla, Veracruz, CP. 93400",UMF Papantla
Veracruz,Cosamaloapan de Carpio,Veracruz,VZIST000086,Unidad de Medicina Familiar,Cosamaloapan de Carpio,Primer Nivel,Propia,18.3606,-95.8041,Calle,Emiliano Zapata ,S/N,Colonia,Manlio Fabio Altamirano,95390,"Calle Emiliano Zapata  S/N, Colonia Manlio Fabio Altamirano, Cosamaloapan de Carpio, Veracruz, CP. 95390",UMF Cosamaloapan de Carpio
Veracruz,Cosamaloapan de Carpio,Veracruz,VZIST000074,Unidad de Medicina Familiar,Cd. Miguel Alemán,Primer Nivel,Propia,18.189,-96.1003,Calle,de Los Huastecos,S/N,Colonia,Centro,95427,"Calle de Los Huastecos S/N, Colonia Centro, Cosamaloapan de Carpio, Veracruz, CP. 95427",UMF Cd. Miguel Alemán
